date,geography,geography code,Economic activity status: Total: All usual residents aged 16 years and over,Economic activity status: Economically active (excluding full-time students),Economic activity status: Economically active and a full-time student,Number of economically active persons,percentage of economically active persons
2021,Leeds 011A,E01011264,1105,596,15,611,55.29
2021,Leeds 009A,E01011265,1598,972,18,990,61.95
2021,Leeds 008A,E01011266,2108,1437,27,1464,69.45
2021,Leeds 009B,E01011267,1364,778,20,798,58.5
2021,Leeds 010A,E01011268,1100,662,17,679,61.73
2021,Leeds 011B,E01011269,1327,775,19,794,59.83
2021,Leeds 008B,E01011270,1404,778,23,801,57.05
2021,Leeds 009C,E01011271,1710,1075,40,1115,65.2
2021,Leeds 009D,E01011272,1174,722,24,746,63.54
2021,Leeds 010B,E01011273,1245,803,24,827,66.43
2021,Leeds 010C,E01011274,1104,623,32,655,59.33
2021,Leeds 010D,E01011275,1118,660,20,680,60.82
2021,Leeds 011C,E01011276,1443,935,15,950,65.84
2021,Leeds 014A,E01011277,1272,896,26,922,72.48
2021,Leeds 014B,E01011278,1358,892,30,922,67.89
2021,Leeds 008C,E01011279,1088,632,19,651,59.83
2021,Leeds 008D,E01011280,1653,1084,25,1109,67.09
2021,Leeds 059A,E01011281,1722,1110,45,1155,67.07
2021,Leeds 059B,E01011282,1090,655,32,687,63.03
2021,Leeds 059C,E01011283,1121,629,25,654,58.34
2021,Leeds 071A,E01011284,1753,1199,77,1276,72.79
2021,Leeds 059D,E01011286,1056,695,21,716,67.8
2021,Leeds 067B,E01011287,1197,725,25,750,62.66
2021,Leeds 071B,E01011292,1524,822,37,859,56.36
2021,Leeds 071C,E01011293,1484,920,38,958,64.56
2021,Leeds 071D,E01011294,1452,508,21,529,36.43
2021,Leeds 059E,E01011295,1299,858,19,877,67.51
2021,Leeds 030A,E01011296,1403,685,15,700,49.89
2021,Leeds 030B,E01011297,1398,902,21,923,66.02
2021,Leeds 088A,E01011298,1251,745,19,764,61.07
2021,Leeds 088B,E01011299,2174,1491,28,1519,69.87
2021,Leeds 089A,E01011300,1162,685,15,700,60.24
2021,Leeds 089B,E01011301,1058,621,10,631,59.64
2021,Leeds 088C,E01011302,1531,801,21,822,53.69
2021,Leeds 088D,E01011303,953,547,13,560,58.76
2021,Leeds 089C,E01011304,1264,720,25,745,58.94
2021,Leeds 089D,E01011305,1232,834,12,846,68.67
2021,Leeds 089E,E01011306,1093,688,22,710,64.96
2021,Leeds 103A,E01011307,1315,743,22,765,58.17
2021,Leeds 103B,E01011308,1210,728,22,750,61.98
2021,Leeds 030C,E01011309,1251,745,14,759,60.67
2021,Leeds 030D,E01011310,1336,758,20,778,58.23
2021,Leeds 022A,E01011311,1007,602,7,609,60.48
2021,Leeds 086A,E01011312,1416,730,54,784,55.37
2021,Leeds 091A,E01011313,1272,825,39,864,67.92
2021,Leeds 091B,E01011314,1239,816,36,852,68.77
2021,Leeds 090A,E01011315,1260,777,20,797,63.25
2021,Leeds 086B,E01011316,1447,809,54,863,59.64
2021,Leeds 090B,E01011317,1393,733,38,771,55.35
2021,Leeds 090C,E01011318,1123,663,20,683,60.82
2021,Leeds 091C,E01011319,1215,699,37,736,60.58
2021,Leeds 091D,E01011320,1408,862,32,894,63.49
2021,Leeds 090D,E01011321,1240,724,36,760,61.29
2021,Leeds 091E,E01011322,1275,726,21,747,58.59
2021,Leeds 051A,E01011323,1077,620,8,628,58.31
2021,Leeds 046A,E01011324,1438,546,181,727,50.56
2021,Leeds 046B,E01011325,1322,889,17,906,68.53
2021,Leeds 046C,E01011326,1129,673,21,694,61.47
2021,Leeds 052A,E01011327,1098,655,7,662,60.29
2021,Leeds 052B,E01011328,1256,794,21,815,64.89
2021,Leeds 051B,E01011329,1303,854,22,876,67.23
2021,Leeds 051C,E01011330,1106,712,24,736,66.55
2021,Leeds 058A,E01011331,1121,745,26,771,68.78
2021,Leeds 046D,E01011332,1194,685,15,700,58.63
2021,Leeds 051D,E01011333,1097,626,14,640,58.34
2021,Leeds 058B,E01011334,1190,796,25,821,68.99
2021,Leeds 052C,E01011335,1421,959,16,975,68.61
2021,Leeds 058C,E01011336,1328,760,17,777,58.51
2021,Leeds 058D,E01011337,1165,688,31,719,61.72
2021,Leeds 064A,E01011338,1478,813,46,859,58.12
2021,Leeds 060A,E01011339,1602,888,48,936,58.43
2021,Leeds 060B,E01011340,1310,687,40,727,55.5
2021,Leeds 061A,E01011341,1669,1128,24,1152,69.02
2021,Leeds 060C,E01011342,1307,730,30,760,58.15
2021,Leeds 061B,E01011343,1671,1100,36,1136,67.98
2021,Leeds 065A,E01011344,1448,767,42,809,55.87
2021,Leeds 061C,E01011345,1181,696,30,726,61.47
2021,Leeds 060D,E01011346,1454,773,78,851,58.53
2021,Leeds 065B,E01011347,1422,763,31,794,55.84
2021,Leeds 065C,E01011348,1274,731,53,784,61.54
2021,Leeds 065D,E01011349,1429,766,23,789,55.21
2021,Leeds 034A,E01011350,1326,857,24,881,66.44
2021,Leeds 034B,E01011351,1530,1066,25,1091,71.31
2021,Leeds 034C,E01011352,1673,1222,25,1247,74.54
2021,Leeds 034D,E01011353,1625,1167,27,1194,73.48
2021,Leeds 038A,E01011354,1138,665,33,698,61.34
2021,Leeds 038B,E01011355,1177,735,28,763,64.83
2021,Leeds 042A,E01011356,1742,1161,46,1207,69.29
2021,Leeds 038C,E01011357,1585,887,48,935,58.99
2021,Leeds 042B,E01011358,1235,733,25,758,61.38
2021,Leeds 042C,E01011359,1568,984,45,1029,65.63
2021,Leeds 042D,E01011360,1688,866,67,933,55.27
2021,Leeds 042E,E01011361,2186,1161,75,1236,56.54
2021,Leeds 081A,E01011362,1588,1003,35,1038,65.37
2021,Leeds 071E,E01011363,1501,884,39,923,61.49
2021,Leeds 085A,E01011364,1589,977,46,1023,64.38
2021,Leeds 082A,E01011366,1347,815,36,851,63.18
2021,Leeds 082C,E01011368,1233,718,48,766,62.12
2021,Leeds 090E,E01011369,1307,781,22,803,61.44
2021,Leeds 082D,E01011370,1338,750,37,787,58.82
2021,Leeds 085B,E01011371,1356,714,48,762,56.19
2021,Leeds 086C,E01011372,1240,673,82,755,60.89
2021,Leeds 085C,E01011373,1110,641,41,682,61.44
2021,Leeds 085D,E01011374,992,648,40,688,69.35
2021,Leeds 086D,E01011375,1479,801,34,835,56.46
2021,Leeds 013A,E01011376,1348,827,27,854,63.35
2021,Leeds 013B,E01011377,1163,626,17,643,55.29
2021,Leeds 013C,E01011378,1145,582,18,600,52.4
2021,Leeds 017A,E01011379,1257,707,20,727,57.84
2021,Leeds 016A,E01011380,1291,715,18,733,56.78
2021,Leeds 016B,E01011381,1235,667,14,681,55.14
2021,Leeds 013D,E01011382,1326,821,10,831,62.67
2021,Leeds 019A,E01011383,1367,770,16,786,57.5
2021,Leeds 017B,E01011384,1218,705,13,718,58.95
2021,Leeds 016C,E01011385,1120,606,16,622,55.54
2021,Leeds 016D,E01011386,1449,931,27,958,66.11
2021,Leeds 019B,E01011388,1326,755,19,774,58.37
2021,Leeds 087A,E01011390,1138,685,12,697,61.25
2021,Leeds 087B,E01011391,1331,660,14,674,50.64
2021,Leeds 087C,E01011392,1546,934,20,954,61.71
2021,Leeds 103C,E01011393,1754,1182,37,1219,69.5
2021,Leeds 103D,E01011394,971,557,18,575,59.22
2021,Leeds 103E,E01011395,939,642,22,664,70.71
2021,Leeds 074A,E01011396,1581,950,65,1015,64.2
2021,Leeds 077A,E01011397,1211,739,20,759,62.68
2021,Leeds 077B,E01011398,977,621,13,634,64.89
2021,Leeds 074B,E01011399,1235,751,23,774,62.67
2021,Leeds 074C,E01011400,1165,666,22,688,59.06
2021,Leeds 077C,E01011401,1417,902,26,928,65.49
2021,Leeds 087D,E01011402,1738,896,19,915,52.65
2021,Leeds 074D,E01011403,1348,595,27,622,46.14
2021,Leeds 077D,E01011404,1114,676,24,700,62.84
2021,Leeds 077E,E01011405,1266,580,12,592,46.76
2021,Leeds 057A,E01011406,1106,695,18,713,64.47
2021,Leeds 057B,E01011407,1196,736,16,752,62.88
2021,Leeds 057C,E01011408,1332,658,22,680,51.05
2021,Leeds 057D,E01011409,1228,755,30,785,63.93
2021,Leeds 057E,E01011410,1406,814,13,827,58.82
2021,Leeds 073A,E01011411,1436,940,29,969,67.48
2021,Leeds 057F,E01011412,1497,908,25,933,62.32
2021,Leeds 069A,E01011413,1229,803,19,822,66.88
2021,Leeds 073B,E01011414,1262,799,14,813,64.42
2021,Leeds 069B,E01011415,1368,821,35,856,62.57
2021,Leeds 069C,E01011416,1212,799,17,816,67.33
2021,Leeds 069D,E01011417,1338,706,29,735,54.93
2021,Leeds 073C,E01011418,1225,741,23,764,62.37
2021,Leeds 073D,E01011419,973,517,13,530,54.47
2021,Leeds 069E,E01011420,1204,569,17,586,48.67
2021,Leeds 040A,E01011421,1178,638,29,667,56.62
2021,Leeds 048A,E01011422,1259,672,55,727,57.74
2021,Leeds 047A,E01011423,1278,714,37,751,58.76
2021,Leeds 047B,E01011424,1352,759,50,809,59.84
2021,Leeds 040B,E01011425,1211,752,18,770,63.58
2021,Leeds 048B,E01011426,1242,608,72,680,54.75
2021,Leeds 047C,E01011427,1386,700,47,747,53.9
2021,Leeds 048C,E01011428,1540,814,50,864,56.1
2021,Leeds 048D,E01011429,1550,720,60,780,50.32
2021,Leeds 053A,E01011430,1167,581,46,627,53.73
2021,Leeds 047D,E01011431,1587,884,38,922,58.1
2021,Leeds 053B,E01011432,1227,616,35,651,53.06
2021,Leeds 053C,E01011433,1317,703,46,749,56.87
2021,Leeds 053D,E01011434,1192,675,31,706,59.23
2021,Leeds 044A,E01011435,1789,596,405,1001,55.95
2021,Leeds 044D,E01011440,1618,597,353,950,58.71
2021,Leeds 044E,E01011441,1842,662,320,982,53.31
2021,Leeds 110A,E01011442,1808,404,364,768,42.48
2021,Leeds 110B,E01011443,1794,568,308,876,48.83
2021,Leeds 110C,E01011444,1930,308,400,708,36.68
2021,Leeds 054A,E01011445,1743,195,401,596,34.19
2021,Leeds 054B,E01011446,1659,331,361,692,41.71
2021,Leeds 054C,E01011447,1363,248,313,561,41.16
2021,Leeds 054D,E01011448,1565,282,295,577,36.87
2021,Leeds 054E,E01011449,1353,411,274,685,50.63
2021,Leeds 038D,E01011450,1064,611,14,625,58.74
2021,Leeds 110D,E01011451,1452,529,183,712,49.04
2021,Leeds 027A,E01011452,1302,834,26,860,66.05
2021,Leeds 028A,E01011453,1301,797,15,812,62.41
2021,Leeds 027B,E01011454,1267,921,20,941,74.27
2021,Leeds 021A,E01011455,1101,567,50,617,56.04
2021,Leeds 021B,E01011456,1691,765,144,909,53.76
2021,Leeds 027C,E01011457,1296,787,17,804,62.04
2021,Leeds 027D,E01011458,2008,1415,28,1443,71.86
2021,Leeds 021C,E01011459,1408,868,24,892,63.35
2021,Leeds 028B,E01011460,1190,779,18,797,66.97
2021,Leeds 021D,E01011461,1223,693,18,711,58.14
2021,Leeds 028C,E01011462,1355,813,28,841,62.07
2021,Leeds 028D,E01011463,1341,762,23,785,58.54
2021,Leeds 028E,E01011464,1526,1123,39,1162,76.15
