date,geography,geography code,Number of people not in work,Total,percentage of persons not working
2021,Leeds 011A,E01011264,523,"1,296",40.35
2021,Leeds 009A,E01011265,644,"1,967",32.74
2021,Leeds 008A,E01011266,670,"2,652",25.26
2021,Leeds 009B,E01011267,600,"1,696",35.38
2021,Leeds 010A,E01011268,462,"1,416",32.63
2021,Leeds 011B,E01011269,561,"1,583",35.44
2021,Leeds 008B,E01011270,620,"1,736",35.71
2021,Leeds 009C,E01011271,639,"2,202",29.02
2021,Leeds 009D,E01011272,463,"1,446",32.02
2021,Leeds 010B,E01011273,448,"1,462",30.64
2021,Leeds 010C,E01011274,515,"1,381",37.29
2021,Leeds 010D,E01011275,463,"1,420",32.61
2021,Leeds 011C,E01011276,523,"1,795",29.14
2021,Leeds 014A,E01011277,384,"1,579",24.32
2021,Leeds 014B,E01011278,461,"1,618",28.49
2021,Leeds 008C,E01011279,457,"1,292",35.37
2021,Leeds 008D,E01011280,569,"2,107",27.01
2021,Leeds 059A,E01011281,650,"2,146",30.29
2021,Leeds 059B,E01011282,461,"1,412",32.65
2021,Leeds 059C,E01011283,525,"1,570",33.44
2021,Leeds 071A,E01011284,568,"2,196",25.87
2021,Leeds 059D,E01011286,368,"1,291",28.51
2021,Leeds 067B,E01011287,491,"1,462",33.58
2021,Leeds 071B,E01011292,783,"1,969",39.77
2021,Leeds 071C,E01011293,630,"1,938",32.51
2021,Leeds 071D,E01011294,999,"1,730",57.75
2021,Leeds 059E,E01011295,492,"1,703",28.89
2021,Leeds 030A,E01011296,729,"1,665",43.78
2021,Leeds 030B,E01011297,511,"1,758",29.07
2021,Leeds 088A,E01011298,525,"1,522",34.49
2021,Leeds 088B,E01011299,704,"2,895",24.32
2021,Leeds 089A,E01011300,492,"1,466",33.56
2021,Leeds 089B,E01011301,451,"1,291",34.93
2021,Leeds 088C,E01011302,723,"1,822",39.68
2021,Leeds 088D,E01011303,418,"1,122",37.25
2021,Leeds 089C,E01011304,573,"1,606",35.68
2021,Leeds 089D,E01011305,419,"1,474",28.43
2021,Leeds 089E,E01011306,408,"1,316",31.00
2021,Leeds 103A,E01011307,599,"1,626",36.84
2021,Leeds 103B,E01011308,486,"1,536",31.64
2021,Leeds 030C,E01011309,529,"1,501",35.24
2021,Leeds 030D,E01011310,585,"1,658",35.28
2021,Leeds 022A,E01011311,411,"1,268",32.41
2021,Leeds 086A,E01011312,723,"2,016",35.86
2021,Leeds 091A,E01011313,483,"1,725",28.00
2021,Leeds 091B,E01011314,437,"1,554",28.12
2021,Leeds 090A,E01011315,510,"1,636",31.17
2021,Leeds 086B,E01011316,684,"2,015",33.95
2021,Leeds 090B,E01011317,689,"1,787",38.56
